ic,traj,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
3,8,9,0.2257058,0.049,0.56699383,3.3255577,0.4727582,0.1326454,16.077276,5.191975,19.46745,2.4816327
3,9,9,0.21643843,0.049,0.59529006,2.4603636,0.5038827,0.1397581,15.711524,4.158805,19.094585,3.792837
3,10,9,0.21378157,0.049,0.59529006,3.3515933,0.48120135,0.13246971,15.45113,5.263551,18.734745,3.7749095
3,11,9,0.22128525,0.049,0.59529006,2.7299051,0.5150138,0.15437035,15.515348,4.3965945,19.119469,4.3110685
3,12,9,0.2087341,0.049,0.59529006,2.7987804,0.48660278,0.1314935,15.125256,4.4952755,18.642057,3.8557918
3,13,9,0.20181203,0.049,0.61870205,1.089367,0.5023256,0.116741344,14.637716,-0.2959342,19.008858,4.1871448
3,14,9,0.21988893,0.049,0.61870205,1.4979984,0.5299953,0.12908356,15.346448,-0.8096024,19.371353,4.425096
3,15,9,0.1992971,0.049,0.61870205,1.0074419,0.49186647,0.101671316,14.591183,-0.187875,19.037226,4.103544
3,16,9,0.20706311,0.049,0.61870205,0.9182399,0.50627315,0.120308354,14.821611,0.0022578384,19.701332,4.3468237
3,17,9,0.20988871,0.049,0.63413835,1.8807606,0.449938,0.04857344,15.04596,-1.4464291,18.7135,0.64676964
3,18,9,0.18874173,0.049,0.63413835,1.2059424,0.4269544,0.02800666,14.162448,-0.6963769,18.380669,0.42278236
3,19,9,0.1977444,0.049,0.63413835,1.5965575,0.4381096,0.047954522,14.47213,-1.1686634,18.881092,0.81080997
3,20,9,0.19876015,0.049,0.63413835,1.745304,0.43855348,0.044561192,14.4631605,-1.3915153,18.949192,0.63895255
